Run_ID,KardosChai_ImSuppress,IMPRES,KardosChai_EMT_DOWN,KardosChai_EMT_UP,Miracle,Cytolytic_Score
Gide_Cell_2019-iP01-ar-888,4.87102031397842,7,4.30835657785331,8.79222078232532,0.76927269674836,5.19040104452113
Gide_Cell_2019-iP02-ar-898,5.83793905810171,10,4.47567437583974,8.78666450744787,0.773539155099201,6.64753482282058
Gide_Cell_2019-iP08-ar-926,5.1086615060689,10,4.68724504924367,7.81655545682249,0.849646406636193,4.95938111991101
Gide_Cell_2019-iP10-ar-889,5.71492440920107,9,2.62495300091351,9.34834109416405,0.773219320719944,4.02091050391509
Gide_Cell_2019-iP14-ar-893,5.3207747313016,9,3.25983941859822,8.27554422523281,0.803175827176687,6.13930385761424
Gide_Cell_2019-iP15-ar-894,5.15331878744093,11,6.18309216007955,7.89449837984338,0.78326044266875,5.66344294545011
Gide_Cell_2019-iP19-ar-897,6.39144613027781,12,4.54485061679148,7.90628740048568,0.900999527496675,7.31624152221282
Gide_Cell_2019-iP20-ar-899,8.23852544437211,11,5.83669480243719,8.1133526758609,1.11815739985652,8.89478180544155
Gide_Cell_2019-iP23-ar-901,6.05465584998763,9,3.52639217958397,8.20949183566301,0.822790862560171,6.23903684975735
Gide_Cell_2019-iP25-ar-903,5.97623185029078,9,4.35936487892864,9.36351114304976,0.813665797071358,7.003391076802
Gide_Cell_2019-iP26-ar-904,7.65833103369378,11,5.36970359397131,8.2491153256946,0.950317314724857,10.1919106950399
Gide_Cell_2019-iP27-ar-906,8.31524961251161,13,5.35877061151066,7.91278409432015,0.897204599475707,9.4256722439696
Gide_Cell_2019-iP32-ar-907,8.63696780607041,11,5.08295455954916,8.00048927958227,0.964527965157005,9.83998089939504
Gide_Cell_2019-iP33-ar-909,7.2225037181435,10,4.75416390774721,7.65441042999169,0.806494055832844,6.57116109471745
Gide_Cell_2019-iP34-ar-910,6.59145214374124,7,7.95272068829292,8.28933350065834,0.820746025324256,7.89882340638312
Gide_Cell_2019-iP35-ar-912,6.91670185818716,13,6.86281220726332,8.14617326891927,0.895930395362805,6.33687064908143
Gide_Cell_2019-iP36-ar-914,8.67053581303274,12,4.54443070223105,8.55216517022745,0.880188916454968,9.42879935824594
Gide_Cell_2019-iP37-ar-915,9.24464735239139,13,4.32949515627704,8.04766354858984,0.963011425728127,9.9713822325422
Gide_Cell_2019-iP38-ar-916,5.44042792067864,11,7.17342456865669,9.31389272405267,0.708747599170695,6.38642195961331
Gide_Cell_2019-iP44-ar-918,8.57030710547764,11,5.92604119140392,8.94457126658296,0.865789867700256,8.39494357370809
Gide_Cell_2019-iP45-ar-919,5.98863546456647,9,6.50407024283037,9.00741550071383,0.789470870598181,6.64192419113277
Gide_Cell_2019-iP46-ar-920,8.32915636934397,12,7.81279995590115,9.09522223620293,0.857252205390998,9.45874106867114
Gide_Cell_2019-iP47-ar-921,7.8367755404587,11,4.42601138042342,8.11368777462855,0.938234111284012,9.08070142235034
Gide_Cell_2019-iP49-ar-922,5.20136813591891,9,4.53469366323159,8.26694239891936,0.76315498899512,6.87565410817089
Gide_Cell_2019-iP50-ar-923,7.79187633484958,9,4.72736852366015,8.43246980291759,0.851490769907497,8.01350338951212
